mois,lum1,lum2,lum3,lum4,lum5
1,1997,448,629,61,1215
2,2004,242,437,57,718
3,2775,267,416,49,645
4,3679,249,318,37,550
5,4108,247,253,25,422
6,4579,290,257,32,421
7,4171,263,316,32,459
8,3302,208,332,34,460
9,4084,319,435,27,667
10,3674,466,574,63,921
11,2350,437,762,66,1268
12,1978,403,845,92,1348
