dep,Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,count
60,77491206683364,6912,2765,5883,537885,779,561,768,684.0,1620.0,116440,1895491966.0,93181799.0,384
61,37534803474047,3348,1298,2957,265907,284,253,334,379.0,860.0,43972,903944406.0,1635438.0,186
62,110788213464686,9882,3714,8801,754258,1006,882,1195,1045.0,2330.0,227774,2768709479.0,130105230.0,549
63,55898605119917,4986,1872,4313,383499,489,376,528,485.0,1181.0,62772,1098310834.0,77162849.0,277
64,155991420068613,13914,5288,12047,1083837,1457,1401,1520,1291.0,3057.0,229637,3347664464.0,-75203997.0,773
65,21794402418553,1944,785,1740,146659,189,175,195,154.0,438.0,33188,466205070.0,1027158.0,108
66,75675008671607,6750,2565,5438,510419,664,585,548,456.0,1539.0,48021,1374021948.0,91983673.0,375
67,165677821856420,14778,5599,12752,1161937,1509,1379,1589,1482.0,3301.0,293267,3969905371.0,627063372.0,821
68,101707208863097,9072,3466,7935,669504,912,779,1057,916.0,2200.0,95924,2412821764.0,371784803.0,504
69,491383092368463,43830,16440,39233,3326109,5049,4398,4908,3968.0,9798.0,649552,11111910520.0,1172729733.0,2435
70,20785401554198,1854,671,1588,132402,188,137,159,160.0,449.0,31707,490595302.0,63440473.0,103
71,95451410831938,8514,3513,7400,650788,800,730,777,803.0,2022.0,127105,2200518971.0,217053376.0,473
72,81930807912078,7308,2894,6314,561559,720,608,653,640.0,1740.0,72868,1943692028.0,8795997.0,406
73,56302204906102,5022,1876,4453,386992,508,425,584,531.0,1107.0,34219,1271517001.0,171622515.0,279
74,124107013781607,11070,4145,9804,829128,1201,1019,1271,974.0,2550.0,77073,2803764480.0,383551342.0,615
75,1128264095989935,100638,37375,88475,7759028,12450,11113,13931,8973.0,24315.0,631162,24847926853.0,1191482833.0,5591
76,141865419214319,12654,4844,10837,940994,1493,1158,1423,962.0,2944.0,274129,3482909157.0,51481491.0,703
77,193324430640701,17244,6753,14396,1281482,1762,1279,2529,1649.0,3925.0,263605,4666836540.0,261182600.0,958
78,158211228323130,14112,5114,12429,1060558,1520,1049,1319,1239.0,3430.0,295806,3378624858.0,139895637.0,784
79,38342004086306,3420,1311,3101,264844,329,285,394,360.0,804.0,34137,885050268.0,-6614034.0,190
80,103725213557621,9252,3360,8130,724975,981,850,773,782.0,2177.0,129026,2565601707.0,118226423.0,514
81,34507803002606,3078,1171,2538,236754,302,238,318,334.0,808.0,21665,735383308.0,35285045.0,171
82,35113204278191,3132,1166,2750,237620,303,233,304,255.0,788.0,16773,766596968.0,22295912.0,174
83,164668821608846,14688,5480,13446,1113863,1493,1214,1548,1224.0,3357.0,73413,3504475483.0,502538638.0,816
84,50248203896336,4482,1624,4118,338587,457,358,516,368.0,1071.0,16180,1086863340.0,124744177.0,249
85,73858806392844,6588,2388,6030,491912,671,523,685,582.0,1482.0,58300,1707955068.0,-46956260.0,366
86,53880607496033,4806,1708,4087,350417,484,412,467,429.0,1073.0,40867,1234857024.0,10279095.0,267
87,81123612378994,7236,2660,6093,567945,700,650,747,621.0,1770.0,36043,1842713471.0,50291275.0,402
88,35920402706305,3204,1170,2729,258265,327,267,324,344.0,805.0,46474,848230145.0,114041703.0,178
89,47221203890990,4212,1604,3452,329038,411,316,432,385.0,1012.0,60351,1121684492.0,81648483.0,234
90,11704401488233,1044,395,933,83059,101,89,135,87.0,286.0,1694,271550072.0,39225836.0,58
91,294022656153132,26226,9919,22369,2024400,2616,2182,2140,2390.0,5766.0,544109,7082398592.0,340446795.0,1457
92,508536099623109,45360,16998,39078,3514341,4970,4562,4804,3711.0,10254.0,95680,11158723284.0,513453668.0,2520
93,551923113044126,49230,18564,43266,3858128,5535,4784,5315,4481.0,11049.0,114175,11679230395.0,591781373.0,2735
94,514186509362517,45864,17137,40343,3534770,5278,4462,5175,4240.0,10484.0,117513,12410820048.0,619865241.0,2548
95,172337234566933,15372,5657,13182,1127092,1561,1190,1054,1341.0,3547.0,308903,4185414206.0,194457283.0,854
97,407030714515175,36306,13892,31252,2738396,4046,3297,4328,2650.0,8095.0,678820,2755343708.0,10743739614.0,2017
