jour,mois,an,Num_Acc,hrmn,lum,agg,int,atm,col,com,lat,long,dep,count
9,12,18,25426803624837,163630,390,205,244,277.0,554.0,26563,547188862.0,71372852.0,76185,126
10,1,18,33297004870405,222839,394,282,288,307.0,743.0,39255,722430087.0,71024594.0,92779,165
10,2,18,24619603586248,174872,329,206,224,261.0,519.0,25184,528343954.0,63337000.0,72806,122
10,3,18,26435803974128,167025,293,213,258,192.0,575.0,21105,591457475.0,46246888.0,75357,131
10,4,18,28252004376252,193171,207,239,311,233.0,564.0,24520,619709507.0,76719301.0,89977,140
10,5,18,22399803116511,158934,191,185,199,156.0,485.0,20488,502644488.0,39967604.0,67138,111
10,6,18,30270003585148,198252,250,235,273,241.0,650.0,25762,669948090.0,67161622.0,81828,150
10,7,18,43992406329038,324881,376,354,439,242.0,884.0,40861,988270973.0,88029941.0,125984,218
10,8,18,31077204188136,215994,261,245,326,186.0,655.0,30385,659772394.0,91240515.0,83978,154
10,9,18,31884404115914,207904,216,263,297,184.0,599.0,30000,698795852.0,84193111.0,80316,158
10,10,18,41570806111770,276143,334,342,491,330.0,831.0,42554,854168408.0,114945894.0,127027,206
10,11,18,35516805040846,246315,462,293,340,370.0,756.0,36906,778980403.0,60642810.0,105832,176
10,12,18,32691604648706,211768,380,254,303,263.0,704.0,34331,716194866.0,77283010.0,94035,162
11,1,18,35516804927517,235703,416,302,342,328.0,741.0,30404,782321870.0,76192411.0,100301,176
11,2,18,19978202624183,120053,276,158,190,212.0,467.0,19038,428179084.0,60975046.0,52332,99
11,3,18,19574602872101,110470,240,148,190,180.0,404.0,22600,427733266.0,56003617.0,56313,97
11,4,18,33095205047295,222733,260,264,331,241.0,675.0,31038,737257588.0,87266472.0,99568,164
11,5,18,33902404475117,242629,255,277,349,206.0,688.0,30146,763426435.0,58731242.0,94076,168
11,6,18,25830404223638,174599,169,224,267,301.0,542.0,23186,564375822.0,73467871.0,84740,128
11,7,18,38543805414176,258760,297,307,319,222.0,723.0,35163,858907566.0,92474527.0,104807,191
11,8,18,28453803495547,193633,269,223,275,155.0,559.0,29713,622053937.0,64840902.0,74516,141
11,9,18,47221206940882,323352,344,393,459,316.0,968.0,42764,993261561.0,107757296.0,138073,234
11,10,18,50651807616460,343584,441,414,600,468.0,1068.0,50071,1097881068.0,102917004.0,156729,251
11,11,18,27444804224868,177418,379,213,265,276.0,639.0,24731,611837112.0,43216486.0,83227,136
11,12,18,36122205032125,242183,425,299,375,326.0,734.0,37398,809014435.0,55171132.0,100346,179
12,1,18,34911404971746,248983,459,297,350,310.0,724.0,38059,784058416.0,63504298.0,99573,173
12,2,18,30673604646892,187330,311,257,318,354.0,670.0,27541,693131892.0,55036618.0,90169,152
12,3,18,30471804417300,203849,248,249,298,255.0,625.0,31383,651925058.0,68755874.0,85843,151
12,4,18,37938405659638,260625,292,306,336,347.0,813.0,32976,841595790.0,71155931.0,112049,188
12,5,18,27243003245123,180533,228,219,265,242.0,583.0,24131,591973528.0,75809221.0,75156,135
12,6,18,33902405106835,233022,218,281,349,269.0,695.0,27002,748449923.0,63088489.0,97297,168
12,7,18,39351005479667,282914,287,325,404,237.0,746.0,35910,850150173.0,98079415.0,113512,195
12,8,18,27646603305614,172399,256,208,258,209.0,630.0,28335,596408146.0,70078265.0,71238,137
12,9,18,38745605802882,259787,316,320,373,227.0,818.0,36031,826869135.0,83709456.0,115878,192
12,10,18,47423007078980,324961,407,385,540,336.0,928.0,48083,1016943583.0,126740434.0,140650,235
12,11,18,34709605635213,238966,414,285,338,334.0,731.0,31017,759890435.0,76714757.0,114122,172
12,12,18,34911405374501,243105,428,283,326,311.0,718.0,32024,785241037.0,74485532.0,104475,173
13,1,18,26637603740384,193185,321,215,236,224.0,541.0,25441,609168774.0,38557744.0,76832,132
13,2,18,30875404552810,196678,308,268,322,312.0,670.0,28997,689302649.0,59410862.0,85580,153
13,3,18,27646604158502,186924,251,226,245,228.0,540.0,26126,582250883.0,87026770.0,83764,137
13,4,18,37736605788347,267777,292,305,375,261.0,734.0,32393,847629617.0,97723491.0,116192,187
13,5,18,20381802722413,140348,188,158,174,245.0,417.0,19741,448776945.0,55424318.0,56915,101
13,6,18,32893404817611,223592,216,274,312,237.0,666.0,32694,742395651.0,74253155.0,96701,163
13,7,18,39552804982370,275815,288,312,412,235.0,782.0,37986,866433566.0,84488520.0,106001,196
13,8,18,24417803220319,171504,197,186,247,217.0,513.0,24962,506077231.0,49961136.0,65185,121
13,9,18,35718605173813,246148,282,295,354,291.0,728.0,32791,796155178.0,48006205.0,101696,177
13,10,18,39754605290777,271013,423,324,485,273.0,794.0,40912,857229126.0,99340086.0,109587,197
13,11,18,35920405613025,246057,399,299,361,270.0,711.0,34191,778775721.0,86734044.0,110002,178
13,12,18,37938405803208,258910,474,317,396,366.0,818.0,37499,819144577.0,70908098.0,110880,188
14,1,18,22198003087983,140161,286,165,191,167.0,487.0,18803,483394301.0,43996378.0,65181,110
14,2,18,23610603510092,171081,278,204,233,248.0,483.0,21126,529218604.0,57617854.0,68442,117
14,3,18,30270004463420,190023,262,253,285,183.0,635.0,31104,660513654.0,84597950.0,84678,150
14,4,18,31077204230180,205802,304,246,281,259.0,666.0,25805,688523853.0,79203306.0,93645,154
14,5,18,33700604845755,221829,236,271,331,371.0,636.0,33121,748523692.0,76318205.0,97366,167
14,6,18,36727606027512,237673,267,299,416,252.0,740.0,32991,825403019.0,86132110.0,116157,182
14,7,18,32893404132580,211302,290,244,258,207.0,684.0,34458,732278712.0,89932260.0,90710,163
14,8,18,30068203745487,213702,245,237,295,173.0,610.0,26927,643848754.0,76042472.0,77640,149
14,9,18,43185206439205,298473,372,362,437,258.0,877.0,41764,929256950.0,71553343.0,128483,214
14,10,18,23207003014617,149141,232,183,217,169.0,525.0,26307,516655001.0,48918764.0,60728,115
14,11,18,32086205258813,206856,348,264,320,213.0,691.0,29827,698424281.0,85979333.0,100439,159
14,12,18,39149205490866,291273,521,308,390,300.0,825.0,38893,828229591.0,113326240.0,110549,194
15,1,18,24619603710967,165638,338,209,259,257.0,526.0,20509,539617587.0,36333399.0,73337,122
15,2,18,26637603921393,162638,278,219,267,250.0,561.0,25095,599242955.0,52540197.0,78296,132
15,3,18,33297004937266,236565,319,261,287,288.0,680.0,29664,715696865.0,80435163.0,96826,165
15,4,18,26637603400331,160224,260,204,254,168.0,564.0,26716,597228228.0,64189299.0,75291,132
15,5,18,34709605073307,249532,246,287,430,270.0,716.0,30483,749305789.0,90417320.0,98439,172
15,6,18,42579805984475,313563,315,352,382,261.0,866.0,38195,929470000.0,98431435.0,118595,211
15,7,18,37131204695394,275054,356,291,317,227.0,862.0,39762,841377708.0,82026013.0,103712,184
15,8,18,24619602817082,164182,210,184,210,157.0,556.0,22151,542175088.0,50082693.0,65716,122
15,9,18,39754605515861,275589,386,320,421,239.0,828.0,39575,868767734.0,68924973.0,117660,197
15,10,18,35718605165100,246997,354,307,383,265.0,749.0,32888,783402815.0,76525759.0,106188,177
15,11,18,33902405030720,238487,383,289,372,395.0,703.0,29394,717024992.0,62362530.0,97932,168
15,12,18,28655604173738,192553,412,226,234,318.0,642.0,28272,606307192.0,75581213.0,84308,142
16,1,18,33498805229976,222880,439,284,284,380.0,733.0,32160,748001564.0,73776940.0,103963,166
16,2,18,36122205195762,239139,370,296,373,278.0,754.0,36521,789138453.0,71123264.0,102275,179
16,3,18,34306004871504,240759,307,291,331,276.0,663.0,32692,754981388.0,76223395.0,93416,170
16,4,18,29866404217971,208777,211,240,288,190.0,582.0,26023,652858631.0,76517458.0,86875,148
16,5,18,30068204520369,210152,202,252,308,188.0,611.0,27180,691111424.0,48551798.0,86799,149
16,6,18,38745605356221,273596,304,310,423,222.0,761.0,33731,874215751.0,98229915.0,107842,192
16,7,18,31884404442033,192594,283,254,284,228.0,633.0,31847,721324601.0,78571658.0,93706,158
16,8,18,28655603690773,191696,222,234,257,197.0,606.0,26333,621433115.0,72487088.0,77418,142
16,9,18,29866404040047,198660,318,218,261,173.0,683.0,29418,656841363.0,63480129.0,81758,148
16,10,18,40561806245483,277630,341,339,443,285.0,816.0,36539,892869638.0,85821617.0,129405,201
16,11,18,41570806331996,285110,515,343,427,481.0,833.0,39319,917788239.0,83139014.0,117059,206
16,12,18,27848404156454,172151,402,217,300,393.0,623.0,24585,589144962.0,71190768.0,79785,138
17,1,18,30270004320298,211571,351,257,275,325.0,652.0,29883,672171256.0,62663363.0,89877,150
17,2,18,27646603813329,206806,312,222,240,202.0,578.0,25749,603391277.0,50830975.0,79664,137
17,3,18,26637603558247,176667,306,208,268,263.0,549.0,25517,608357664.0,49571107.0,72300,132
17,4,18,35315005230394,257782,223,294,306,238.0,707.0,32844,779035218.0,89819165.0,101273,175
17,5,18,33095204852103,229686,206,285,297,209.0,662.0,31350,736631374.0,70229774.0,98662,164
17,6,18,30875403744599,197119,277,243,333,162.0,687.0,32143,700460454.0,52523687.0,82531,153
17,7,18,28252004070848,217262,187,229,252,159.0,584.0,26060,630469143.0,49661160.0,81783,140
17,8,18,25023203157075,171771,192,200,279,185.0,521.0,27105,524441270.0,76549096.0,65754,124
17,9,18,37131205678438,259228,297,318,370,227.0,750.0,36372,822043293.0,62749076.0,108325,184
17,10,18,39552806337425,269868,348,334,400,252.0,802.0,37398,887653889.0,84688169.0,121788,196
17,11,18,35315004830620,234968,424,287,347,299.0,788.0,35575,775003167.0,103020056.0,99446,175
17,12,18,35920405212169,238790,434,282,380,427.0,747.0,38359,785688489.0,94879201.0,100425,178
18,1,18,34104204874630,216097,421,288,332,365.0,775.0,34121,758476303.0,59729982.0,101572,169
18,2,18,21996202853583,134943,259,170,220,212.0,489.0,24740,482442725.0,50960078.0,60281,109
18,3,18,21390803154930,131481,244,175,159,239.0,458.0,20838,466845299.0,52938028.0,58439,106
18,4,18,39754605696556,281678,278,326,426,258.0,840.0,39732,888811845.0,75973411.0,115478,197
18,5,18,49441007502387,342160,352,403,492,293.0,1009.0,46834,1116628200.0,98589860.0,149714,245
18,6,18,35113205278879,249057,243,285,300,220.0,708.0,33157,774372203.0,65268971.0,104381,174
18,7,18,31279004551228,225454,247,253,316,181.0,628.0,29176,685088804.0,72307449.0,88539,155
18,8,18,28453803621127,192586,236,214,247,167.0,599.0,27275,601853706.0,87556642.0,74046,141
18,9,18,37938405742308,253203,309,319,421,244.0,713.0,36164,828559989.0,83715005.0,119112,188
18,10,18,36727605049009,240386,354,301,350,238.0,731.0,33547,842993536.0,65189773.0,105430,182
18,11,18,25426803546680,165746,304,207,269,159.0,539.0,23612,568881897.0,60534436.0,70545,126
18,12,18,36122205415738,238832,451,299,375,411.0,774.0,34212,788679177.0,70166756.0,106861,179
19,1,18,39351005960523,277716,468,329,361,403.0,832.0,36627,867016145.0,73948498.0,116889,195
19,2,18,24821403648240,178836,282,208,244,236.0,528.0,25826,560584789.0,57350169.0,71537,123
19,3,18,23610603391575,143535,213,187,233,270.0,470.0,23276,526767386.0,58141201.0,70231,117
19,4,18,40763606023293,281076,315,334,467,264.0,809.0,34991,906760958.0,90084516.0,118551,202
19,5,18,31884404391310,214992,281,258,292,211.0,637.0,26581,718154973.0,73782230.0,91347,158
19,6,18,37534805625208,268242,255,316,367,244.0,741.0,31787,845118978.0,82355614.0,109473,186
19,7,18,32489804530627,232234,242,265,337,189.0,682.0,30339,705006211.0,78222669.0,92996,161
19,8,18,26637603066686,167619,229,197,215,147.0,550.0,25826,594763975.0,50498317.0,67754,132
19,9,18,35920405307142,253326,270,297,402,208.0,695.0,37183,799531526.0,66035681.0,107386,178
19,10,18,45203206861228,320122,455,383,506,275.0,903.0,38751,998884698.0,103776401.0,132490,224
19,11,18,34104205385644,240310,411,297,361,319.0,702.0,30666,720647783.0,70889110.0,102927,169
19,12,18,32893404746589,230241,417,275,326,412.0,663.0,28452,710722326.0,68616663.0,89399,163
20,1,18,29059204178553,207968,402,225,214,295.0,627.0,28757,622869724.0,53977439.0,81532,144
20,2,18,22803403274038,152356,220,189,230,235.0,466.0,21709,492351173.0,64609836.0,68258,113
20,3,18,21592603223460,146353,197,175,199,183.0,416.0,18661,482033258.0,50986188.0,60758,107
20,4,18,42579806249419,312886,364,351,415,287.0,879.0,42136,973998240.0,70824925.0,126502,211
20,5,18,31682604094708,219346,271,237,292,201.0,698.0,28094,682733175.0,62221161.0,87479,157
20,6,18,39149205664114,276805,255,332,395,253.0,769.0,35301,888066875.0,57699177.0,118966,194
20,7,18,36525805560205,256947,296,296,365,266.0,763.0,32407,775762391.0,83091925.0,110554,181
20,8,18,28252003890676,195727,226,222,312,179.0,546.0,29460,606232707.0,68269835.0,75342,140
20,9,18,42378006209324,296069,341,347,430,235.0,844.0,44533,936733244.0,93156777.0,124147,210
20,10,18,34911404745633,232001,365,280,336,234.0,729.0,33678,788921805.0,65634380.0,102180,173
20,11,18,34709605546927,243416,465,296,374,380.0,719.0,33216,780977595.0,55518397.0,108385,172
20,12,18,36929405357906,256564,465,312,374,326.0,776.0,36197,827222199.0,52967784.0,104090,183
21,1,18,21189003171408,139999,316,173,214,213.0,483.0,19262,471688444.0,38036834.0,65785,105
21,2,18,24619603645736,167987,243,203,262,173.0,490.0,23584,546252124.0,57008662.0,69557,122
