catv,grav,secu,Num_Acc,senc,occutc,obs,obsm,choc,manv,place,catu,sexe,trajet,locp,actp,etatp,an_nais,count
1,4,33.0,201800052709,2.0,0,0.0,2.0,0.0,1.0,2.0,2,2,5.0,0.0,0.0,0.0,2014.0,1
1,4,41.0,4641400513200,22.0,0,13.0,40.0,65.0,194.0,23.0,23,28,51.0,0.0,0.0,0.0,45571.0,23
1,4,42.0,4641400639100,19.0,0,1.0,54.0,73.0,152.0,23.0,23,26,81.0,0.0,0.0,0.0,45594.0,23
1,4,43.0,8072001092787,40.0,0,26.0,71.0,114.0,126.0,39.0,42,56,135.0,5.0,1.0,1.0,79038.0,40
1,4,91.0,6861200968152,31.0,0,0.0,52.0,82.0,117.0,33.0,39,47,83.0,7.0,12.0,2.0,67478.0,34
1,4,92.0,9686401429542,53.0,0,21.0,94.0,178.0,355.0,48.0,48,61,190.0,0.0,0.0,0.0,95012.0,48
1,4,93.0,48835608452499,244.0,0,103.0,414.0,778.0,1429.0,239.0,251,303,737.0,10.0,24.0,4.0,479562.0,242
2,1,2.0,3834200176195,15.0,0,4.0,19.0,39.0,80.0,15.0,33,24,81.0,20.0,22.0,9.0,37790.0,19
2,1,3.0,10090000906208,47.0,0,39.0,85.0,85.0,255.0,63.0,60,69,134.0,7.0,2.0,2.0,99058.0,50
2,1,11.0,539613272201637,2734.0,0,536.0,5107.0,6794.0,15358.0,3121.0,2913,3583,9365.0,0.0,0.0,0.0,5282565.0,2674
2,1,12.0,2825200414041,15.0,0,1.0,20.0,27.0,105.0,14.0,14,16,61.0,0.0,0.0,0.0,27655.0,14
2,1,13.0,34911405441187,186.0,0,84.0,320.0,425.0,905.0,186.0,180,215,583.0,0.0,0.0,0.0,342212.0,173
2,1,21.0,85563212875165,447.0,0,221.0,649.0,1186.0,2502.0,502.0,499,464,1694.0,0.0,0.0,0.0,845017.0,424
2,1,22.0,2825200423892,14.0,0,6.0,28.0,43.0,93.0,22.0,21,15,46.0,0.0,0.0,0.0,28000.0,14
2,1,23.0,4439600861049,23.0,0,13.0,35.0,70.0,75.0,29.0,26,24,90.0,0.0,0.0,0.0,43816.0,22
2,1,31.0,3632400450041,23.0,0,1.0,34.0,45.0,99.0,102.0,36,31,88.0,0.0,0.0,0.0,36273.0,18
2,1,41.0,403600094566,3.0,0,0.0,4.0,9.0,4.0,2.0,2,2,10.0,0.0,0.0,0.0,3954.0,2
2,1,91.0,2018000141411,4.0,0,1.0,16.0,17.0,42.0,11.0,11,11,38.0,0.0,0.0,0.0,19855.0,10
2,1,92.0,1210800142461,8.0,0,13.0,12.0,27.0,56.0,6.0,6,7,29.0,0.0,0.0,0.0,11878.0,6
2,1,93.0,2018000303505,9.0,0,0.0,29.0,28.0,56.0,10.0,10,11,35.0,0.0,0.0,0.0,19847.0,10
